"시도별(1)",시도별(2),2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02
"전북",순창,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,27,35,39,41,21,23,23,13,22,22,17,20,24,28,25,18,16,21,21,13,15,11,20,24,22,21,25
"전북",장수,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,41,41,43,23,21,20,10,13,10,-,23,26,33**,14**,21,20,17,22,11,14,14,17,22,21,17,18
"전북",도평균,15,24,22,31,30*,33,31,33,27,22,28,14,14,13,20,39,29,40,40,44,23,25,24,16,16,15,19,23,25,30,25,22,19,20,24,13,15,14,19,22,23,22,26
"전남",화순,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,16,20,20,12,16*,11,12,15,17,24,22,17,18,14*,14,10,14,12,14,15,17,15,17
"전남",여수,14,19,14,23,22*,23,26,23,18,16,20,15,10,11,14,22,17,21,26,24,16,21,20,13,17,12,12,15,15,16,16,13,14,14,13,8,16,12,12,13,14,14,16
"전남",광양,14,16,13,22,22,22,26*,24*,23*,23,25,20,12*,16,15*,24*,19*,25*,29,27,16,19,20,13,15,11,11,14,16,17,16,12,12,13,13,11,17,10*,13,15,19,18,21
"전남",순천,15,16*,12**,20**,19**,24,29,29,25,22,22,16,11*,15*,16,26,20,24,28,27,15,20,18,11,16,9,10,17,19,19,18,14,14,15,13,8,14,11,13,14*,16,17,18
"전남",목포,16,20,16,20,18,20,22,23,19,15,18,14,10,11,14,26,22,27,29,35,16,22,16,14,16,13,16,16,19,24,17,14,14,13,14,9,16,13,13,13,14,14,17
"전남",영암,18,21,17,25,26,27,26,25,22*,22,27,22,15,18,20,33,27,30,30,37,21,27,20,20,22,17,17,20,25,27,24,22,24,22,22,15,23,20,22,23,25,25,27
"전남",나주,-,-,-,-,-,30,29,29,25,21,27,13,19,16*,19,35,23,27,31,34,20,20,21,14,17,9,12,19,19,23,17,14,15,15,14,8,13,13*,15,17,22,18,18
"전남",담양,-,-,-,-,-,29,30,33,25,24,28,14,13,11,18,34,29,37,41,44,20,20,28,18,17,11,14,20,16,17*,18,17,17,17,18,10,10,9,13,11,17,14,18
"전남",장성,-,-,-,-,-,25,29,31,23,19,21,14,14,11,16,30,24,34,34,38,21,22,18,9*,13,10,13,18,21,26,20,18,16,16,19,10,12,11,19,20,22,21,24
"전남",해남,-,-,-,-,-,-,-,-,-,20,23,11,14,13,16,29,20,25,25,34,17,23,25,17,16,11,14,16,12,20,21,16,16,18,16,9,14,18,15,14,17,16,21
"전남",영광,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,27,33,35,45,25,27,26,15,20,18,22,24,21,27,20,21,20,19,22,12,18,18,21,22,20,21,27
"전남",장흥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,32,34,16,20,26,12*,22,13,14,20,22,23,21,16,17,18,19,13,20,16,16,15,19,16,20
"전남",진도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,26,14,20,18,11,14,11,14,13,16,26,22,17,17,12,10,6,11,11,11,10,12,12,15
"전남",완도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,25,14,20,18,12,14,10,11,14,13,17,16,12,13,12,9,6,13,11,12,11,13,12,14
"전남",함평,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,35,18,24,23,15,17,13,17,19,23,30,25,20,18,15,14,7,13,12,18,19,23,24,29
"전남",고흥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14,20,19,12,15,12,12,15,16,18,17,13,14,14,11,8,15,12,13,12,14,14,16
"전남",신안,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,13,19,13,9,20,9,12,12,15,22,17,14,14,14,14,8,14,12,12,12,15,14,20
